identity,created_at,content_auth,reposts_count,attitudes_count,comments_count,text
4280642189521373,09-04,0,50760,115712,16409,#香蜜沉沉烬如霜大结局##灵修夫妇# 与你四界而遇，许你三世缱绻，唯你挚爱千年生生世世时光不再枯萎，岁岁年年相守唯爱流传感恩#香蜜沉沉烬如霜大结局# 这个夏天和你们的相遇！@杨紫@邓伦 这是香香送给所有香蜜女孩的收官礼物，望笑纳 电视剧香蜜沉沉烬如霜的秒拍视频 
4309143454650678,11-22,0,92,2323,268,#电视剧香蜜沉沉烬如霜# ☑️🍇❄️//@大婷呗儿:小雪最后变成霜花了❄ ❄
4308900587055646,11-21,0,102,2864,612,#电视剧香蜜沉沉烬如霜# 恭喜@Andy-LiuNing 刘宁总！保持初心，一路前行❤️这张成绩单只是起点，感恩这个夏天让一切的期待有了美满的成果。再次感谢大家的支持和喜爱！🙏
4308526891806766,11-20,0,77,1455,421,我参与了@新浪电视 发起的投票 【#新浪电视浪斯卡#2018最火爆的电视剧】，我投给了“香蜜沉沉烬如霜”这个选项。你也快来表态吧~
4307022859999062,11-16,0,205,1823,249,#电视剧香蜜沉沉烬如霜# 都是我们的回忆📷
4306578129062192,11-15,0,35,3220,296,#电视剧香蜜沉沉烬如霜# 江南有梓木，灼灼孕芳华。祝花神麻麻@张棪琰 生辰快乐，岁岁如花🎂🌺💐🌸🌷🌻🌼☘️ 
4306215510693158,11-14,0,105,11360,561,#电视剧香蜜沉沉烬如霜# 国色鲜明舒嫩脸，仙冠重叠剪红云。香香祝牡丹长芳主@彭杨 芳辰快乐～永远美腻～🌹❤️🎂🌺 
4306036690670700,11-13,0,295,9110,877,#电视剧香蜜沉沉烬如霜# 一壶清酒，一身尘灰。 
4303314381848064,11-06,0,550,10391,1065,#电视剧香蜜沉沉烬如霜# 繁花似锦觅安宁，淡云流水度此生。愿你笑颜永驻，乐享红尘💜香香再次祝福锦觅仙子生辰快乐🍇🎂🎁惬意逍遥❄️🍯🎊@杨紫 
4303281956209331,11-06,0,87,2875,228,#电视剧香蜜沉沉烬如霜# 香现在才看到最最最可爱的小葡萄生日快乐🎂🎈🎁🍯🍇祝愿你永远被无穷的爱包围❤️永远爱你 查看图片 //@杨紫：谢谢香香
4303146791083805,11-06,0,1585,16371,4155,#电视剧香蜜沉沉烬如霜#霜花逐落月，云鬓花颜灿。这个盛夏，香香和香蜜女孩拥有了最大的幸运——有个女孩出演了锦觅。在这曲折波澜的三生中，无论是懵懂不识情的可爱小葡萄，还是沉稳大气的人间医女，再或是勘破情关、执着本心的霜花水神，你都用最优秀的演技赠予了这个角色不同阶段鲜活灵动的生命。 ...全文
4303055736536883,11-05,0,160,1135,201,#香蜜梦间集联动##电视剧香蜜沉沉烬如霜#  香香又来为大家的福利加码啦！关注、转发@梦间集 原博，香香会为活动在原奖基础上额外加码【10支Dior口红】哦！ P.S.少年模样的寰谛凤翎真的好美，香香已经下好游戏等待11月9日的活动正式开启了哦！[给你小心心]
4301518771966635,11-01,0,178,9016,802,#电视剧香蜜沉沉烬如霜# 魔非魔，神非神。 
4300781450210406,10-30,0,185,2165,279,#电视剧香蜜沉沉烬如霜# 你好，紫米锦鲤。香香为你准备了香蜜沉沉烬如霜小说一部，书签一组，钥匙扣一个❤️感谢香蜜女孩们的陪伴，一起继续为小猴紫加油打气！⛽️⛽️⛽️
4299711156487884,10-27,0,77,2531,250,#电视剧香蜜沉沉烬如霜# 锦觅身死，有多少人看到这一幕落泪了呢？请举起你们的手~这次旭凤如何找到转世后的锦觅？由你在诛仙手游中续写~#香蜜诛仙手游剧情联动#
4299350114597781,10-26,0,13,1153,235,#电视剧香蜜沉沉烬如霜# 万圣节要来了！你们准备好解锁大礼包了吗[给你小心心]
4299087526184950,10-25,0,364,3483,356,#香蜜诛仙手游剧情联动# 香香联动@诛仙手游官博 ，来为香蜜女孩们发糖啦！转发诛仙手游官博原博即有机会获得iPad、OPPO、VIVO、D&amp;G、戴森、SKII等数万壕礼，香香都要心动了~特别为活动贡献了香蜜女孩专属爱情信物【春华秋实、寰谛凤翎、人鱼泪】周边一套。快去诛仙手游中邂逅他们吧~
4299020203587308,10-25,0,74,1402,180,#电视剧香蜜沉沉烬如霜# #香蜜诛仙手游剧情联动# 安排上了！香香已经在诛仙手游的忘川见到小葡萄和凤凰，在云梦川见到润玉殿下啦❤️香蜜女孩，冲鸭！前方预警，今晚诛仙手游会有超大大大福利发给香蜜女孩们哦~ 查看图片
4298678635885553,10-24,0,69,4080,280,#电视剧香蜜沉沉烬如霜# 原谅香现在才看到我们小霜花❄️出生真是不容易哇感谢长芳主放粮 查看图片
